,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30,PC 31,PC 32,PC 33,PC 34,PC 35,PC 36,PC 37,PC 38,PC 39,PC 40,PC 41,PC 42,PC 43,PC 44,PC 45,PC 46,PC 47,PC 48,PC 49,PC 50,PC 51
LM 1_X,-0.0040090154860344925,-0.008619586728491672,0.0035204823111032657,-0.04766819224444996,0.004560608224240423,0.015828036619925514,0.008839832699829681,-0.02991533904833828,-0.02989188750152305,-0.008986299516891309,-0.03603248314693362,0.05619112544527136,-0.0014381863869463213,-0.03623527963694886,-0.07496535970645161,0.015813697939324224,0.012026233996298267,-0.0022587376779627053,-0.03949706572040809,0.015147933541150755,0.03618648144253856,-0.026659615400590676,0.052974261874367067,0.02381503934800547,-0.013186378154887426,0.02452303229618663,0.032452154735082755,0.017734214077094607,0.026400710042559762,0.14962699078305475,-0.03191604881886323,-0.019839273738114862,-0.04703046238205621,-0.02515575687751104,-0.02029446061250226,0.041233300861130154,0.060636378578409623,0.10989733891870107,-0.05620183279258918,-0.011973079784428863,-0.11680941191239053,-0.04472885167804942,0.048941470313001514,-0.024929091182314806,0.022397373416841664,-0.03839742415063671,0.06732699201027952,-0.07058789822804865,0.03892132641228381,-0.11480838047219576,0.01923437236981657
LM 1_Y,-0.010889703900454739,-0.0016399231844299866,-0.002788480199834926,0.013471907238409242,-0.02545785104880756,0.0030957305461214446,-0.009560398797421783,0.015344145375033681,-0.009736445381728388,0.017886612086218896,-0.04355520552031772,-0.011818401406978638,-0.021638083532399155,-0.021701928830037916,0.004862295107022262,-0.010690787309580023,-0.047629030269983295,0.0018087766333666688,-0.020296134585156337,0.01510943905057002,-0.006228146163315823,-0.011225846548775476,-0.02546560102474216,-0.038533333781307015,0.023908429897714332,0.016110810225762415,0.01956896735179778,0.0485404403458426,-0.031073582776027276,-0.049768383162970525,0.010297576265412965,-0.010537393007199879,-0.000952083979354955,-0.04311601987477395,0.012911879193111821,0.02930784568808458,-0.08638302843007663,-0.02271659650056663,0.031686799109648944,0.01868718746244945,-0.054270580442141135,-0.008120507514042353,-0.032879553997673686,-0.04569021439849119,-0.179661793833902,-0.044248780411273295,-0.16311654148190238,0.023639481240988202,0.11377812186578784,0.10009458696774093,-0.37939435810657557
LM 1_Z,-0.00017511494364012663,-0.007529060251324116,0.00041229275836998836,-0.021795498627127794,0.025418786965067972,0.018923964561340604,0.02738650683846846,0.013526954718323901,-0.019496471860443437,-0.00959597916066273,-0.031007125208979046,-0.010106560642699353,-0.004370026830509641,0.021461135224871006,-0.04653346794923492,0.056685568779929474,0.021927061704210344,0.006901245542980678,-0.0231355910163791,0.03140070597417344,-0.0272721348211586,0.06506807604445693,0.007562293977303583,-0.01220101094814633,-0.0017541317688475827,0.005961617235724224,0.004878962508644365,0.052710620213476854,-0.05641934258703853,-0.016949728155854632,-0.054512418685327343,-0.04941927347889935,-0.004393624633722032,-0.039397351129773266,-0.054992997046894324,0.08837785571408374,0.035683679333957795,-0.041324920920321806,-0.06780090729059009,0.03679607344859473,0.021322461844632584,-0.014123198832632895,0.05448688159150108,0.0720056260196841,-0.02070129121919183,-0.027091443714329467,-0.022370948732746015,-0.11244265830379573,0.009838357644408676,-0.014119817656870518,0.05778552720017133
LM 2_X,0.004261010897966168,-0.00027504952751431194,0.0035738069209241712,-0.04869949481105459,-0.003442962163200935,0.022287292985839417,-0.006026883330923084,0.020371813894480045,0.00035349604716328187,0.016431617819968013,0.016080043072802433,-0.03679710057932102,0.024119870679834735,0.015464523438061952,-0.017169303565373634,0.009323134803764267,-0.024157293137015933,0.010505987369028667,-0.017465426268334944,0.029540007183703573,0.006645808064847416,0.0205428964127887,-0.03456657074606829,-0.04846187716654995,-0.032083818205358126,0.023823417156051994,-0.027988405700136262,-0.09815658752348617,-0.01400271029698706,-0.06977616476141091,-0.009309350292778332,-0.08918885295514835,0.005644098808724316,-0.026692824252139542,-0.015835679138737437,0.06670797928875959,0.0810418076896591,-0.09085273661458325,0.05816497130714371,0.07867207386439086,-0.017771661566169272,0.0089468977421963,-0.051590631668381716,-0.0059225408160581,0.05568322828583526,-0.042209737965518634,-0.04597007102780374,-0.06448688769459683,0.07295808195798621,0.07081764746128012,-0.000699901096781285
LM 2_Y,0.006001091939205786,-0.004578160078672776,0.02036219857417888,-0.04949624875012288,-0.007353034303858246,0.03928147368157396,-0.015142809043311521,-0.009638919861935578,0.007650523070938544,0.03429114845233935,0.003977616816533404,-0.015803230245474437,-0.01530745824215213,0.011065046418222979,-0.017174666021867124,-0.013620512985405469,-0.034640921885767284,0.016888665657371467,-0.05036810725096101,0.001899360251307195,0.022312623154650112,-0.009708480521239557,0.006201247015965213,-0.08761535495778985,-0.04985496013958782,0.065048734022994,-0.04396831880948368,-0.0924272141119076,0.016770211993523992,0.0161331282429713,0.024136956117518572,-0.009452262640356611,0.007693263463796245,-0.032073583080613685,-0.011689475242273881,0.03312295700825057,0.08538105926610078,-0.05519928336870094,0.05551333096389244,0.12220033334925785,-0.05241849122392651,0.043864511813859426,-0.06405100183693024,-0.014021792717405097,-0.014907914181266258,0.037472030304661716,-0.03464833541846565,-0.17615744628040927,0.1312516860047535,-0.006964932561474372,0.1712054570410349
LM 2_Z,0.008286769041232864,0.00155757461616053,0.010479957488114559,0.012779743105557287,0.0012113090354839299,-0.004067503432824722,0.001845259854611476,0.004729285707022749,0.03986995711868481,-0.0035617032909309693,0.01941910642645829,0.022137186521429354,0.018653112869328484,-0.0035651565726548314,0.016862627975937183,-0.041767395405124474,-0.0038306421915496338,0.01228004972945688,0.016475311169419183,-0.026655630158310357,-0.031563039741218726,0.020430844822248127,-0.0053586293530262785,-0.020116028673554092,-0.019067604410080163,0.009575531547573502,0.027496127837059733,0.04375983412106851,-0.0014897426543984842,0.01885954492105098,0.004673391829237428,0.007897657596699218,0.024155777577460825,-0.04085544042648591,0.04983900177911785,-0.00835952771401963,-0.09758814282671054,-0.049463871433474145,-0.008058467202074105,0.07627674475641565,0.026487613329054072,-0.036526132923372416,-0.012536711568814798,-0.03588865113757845,-0.05774465042965511,-0.09904002637576123,0.011818542152379628,0.10263011478329225,0.043480467685899374,0.02373851436135503,0.09336735166005561
LM 3_X,0.011580914052921519,0.00046795179562566895,-0.01273341092658825,0.04113021656471802,-0.00183366619771762,-0.009165529212678502,-0.008204142494305757,-0.004555178159411649,0.002849865693170423,-0.016054238249126603,0.04326441123548675,-0.035442294474820564,-0.01084715645456637,-0.002563611562558258,0.03746454300679936,-0.012952850757369664,0.02059319626405575,-0.033613078694205815,0.051701588707220164,-0.013567226666217628,0.01310042030875074,0.04824172156992847,-0.06642698102002052,0.006730035808081884,0.020521288308633954,-0.057360652414725335,0.011840822845273373,0.04873052184007583,-0.026449589420527633,-0.08220625392082082,0.1047197348920186,-0.04707517658552246,-0.0119360530548375,0.0005964338671035801,0.009998822840119817,-0.11108462867664183,-0.01831619150833549,0.021700750325882697,-0.056107403158746925,-0.04512482943524416,-0.13148389868466423,0.11999457281047922,0.13008327416351814,0.10005737372201477,-0.00322844774394472,-0.10265157714379433,-0.0389091459231369,-0.10133178769051869,0.046899174937381674,-0.17584862156159967,0.01884323939543521
LM 3_Y,0.0007578185216996301,-0.012476582918330203,0.014825560397427833,0.04791800329497439,0.017067812613817217,-0.07982456542970555,0.0469601100347833,0.020740125455808535,0.05389974032095337,0.09291258684077301,0.03716861340257612,0.07973941736921486,-0.0508451015061334,0.006059508105341357,-0.020213317579464738,-0.07953814370852275,-0.015609964267298746,-0.06837285582729595,0.06109811813970407,-0.10209708579707549,-0.026650685469462244,0.12978864607308901,-0.042508758674231206,-0.006159092682872856,0.05506101361135619,-0.1479763956116895,-0.20201043422080806,0.07098279223215005,0.19856616639798086,-0.00872977845216113,-0.06711154685738761,0.026890819640518163,-0.13503196454559716,-0.24758898184929884,0.0820540231029167,0.1087203569299466,-0.053446492315255965,-0.10110057777100817,0.02039081295716094,0.04201922767776685,0.10506547426117933,-0.07677502601068213,-0.14447583402846303,-0.0544103179201514,-0.1001542780723804,0.0774328354504002,0.0637624312767449,-0.006452260681822999,0.08433177127109624,0.050256541870017726,0.024988388515870506
LM 3_Z,0.013904433309158502,0.026737812434397365,-0.005321055372680706,-0.023310107870233934,0.02749937274777645,0.05985277701188421,-0.04559186836702018,-0.018350947503890973,0.009220302768052486,-0.06391012167754664,-0.028411778767714353,-0.020146984021697917,0.04183016359878823,0.05168769298491602,0.09374985723879582,0.018948907967214074,0.04643341931602276,0.18566097429536255,0.08403739445493598,0.021210539392823254,-0.07816765998368566,-0.03378515045497266,-0.07143979532849104,0.03214683207713039,-0.039174985337710716,0.16300510663622483,0.23213629697920882,-0.045435193904078755,-0.11702753210246912,0.06817562313570731,-0.03333190292508972,0.012829399701676875,0.05176522492933187,0.14879051053038073,-0.08224245950975148,-0.042918520554445484,-0.07476501594708514,-0.1457991468182282,0.0410983766119902,0.14230328285209332,0.057361697341930626,-0.06414210838882745,0.1557689817571419,0.10861503161128983,0.0409004854302479,0.060116865902399154,0.036856058571280256,0.028892368285398803,-0.12437438112943074,0.025912006974567213,-0.17994119699276775
LM 4_X,-0.021421490314664757,0.003969531400849545,-0.0021465325061846923,0.05652445946326806,0.03352972101413531,-0.17953228231716775,0.06361128626989668,0.04625195517218782,0.01075023433239274,0.05881184137865697,0.14011752559789814,0.004557778795073598,0.018121103504473008,-0.10344757373435812,0.08871968587661118,-0.12856544594341748,-0.052941590237241445,-0.06163917414133177,0.03968711321340078,-0.0012861851421459012,-0.04205677445467863,-0.03961252130104753,-0.01783747986120439,0.13212542398286845,0.012997691387036218,0.019633059007187585,-0.042502700864867786,-0.03261476438963049,-0.10000928659356649,0.02833215662655818,0.21606176586342785,-0.000878720264511381,0.09330234891644044,-0.02973628065286947,0.17791960533762546,0.027188010660230133,-0.07247669851021563,0.09248650419327584,0.05830599097730945,0.04788733703689775,0.05800081065796433,0.06847696011298283,-0.05877746616942716,-0.071238441223207,-0.028685556810215514,-0.09121563712773463,0.12258518038702634,0.12867231255835798,0.04804228344917546,0.06243091589546836,-0.024213298340044577
LM 4_Y,0.04449500347479171,0.0030458282126245833,0.01012447467558477,-0.0029464383707258476,-0.024991161459627695,0.19153532822685387,-0.06872275967980407,-0.07334055607935913,0.04971330455362914,-0.0574282427795008,-0.10067952765485255,0.05181243468627347,-0.019208980667156927,0.051263428600219145,0.032695586816058275,0.1181457719387726,0.08007523478492502,-0.0013081869221242372,0.0032890726385742166,-0.0829130316028766,0.027699085360953144,0.08117441886087093,-0.1039978944978829,-0.09253493563987314,0.048736847589535344,-0.05440088611246006,0.05019110267124545,0.0036570305846495123,0.14322352481973952,0.006480325211811315,0.024525370468885074,-0.05996835956193418,0.14028435930019215,0.19979859404319605,-0.059241944401844104,-0.16511157088308667,0.04760864244041216,0.05263461365526796,0.11217599419925024,0.1614508135020562,-0.04223876770456281,-0.16610367773646523,-0.03850773030041951,-0.11777824745556685,0.08407573227158865,-0.027993428356655557,-0.16658743674851695,-0.042350669067024616,0.07322856330898811,-0.03724250441190439,0.014029817546996094
LM 4_Z,-0.006219240842200048,-0.06040248666880851,0.03273426943749495,0.057178558620052305,-0.019231517361799767,-0.08766192142940156,-0.038279602334855334,0.08118125800755897,-0.006838288842427904,0.0836723435173516,0.13429460019684633,0.0400670410650585,-0.055793430567496444,-0.010698932566558027,-0.0520143003655744,0.07390455027863893,0.005221430363900549,0.024653017256174373,-0.09803233012068836,0.022089308440358942,0.01795421247482631,0.03201119456941147,-0.08136156101491318,-0.06436399594572899,0.03729173616457857,0.0010859501158992694,0.02976183861097389,-0.02116449773460541,-0.1835111323322038,0.007548653566394431,0.17033160460565505,-0.037876429963286384,0.0021300553180660805,-0.02692952756403852,-0.06250758822403837,0.0875448444156901,-0.005139614214157985,0.12020530693812954,-0.11590301958043508,-0.0018316933119191766,-0.11933695110871276,-0.07018338468948686,0.18273174833628403,0.043797983634005944,0.0857859603648976,0.01148673441663008,-0.037846353551422525,0.13579826113474175,-0.07651674561858088,-0.027971018459055783,0.05490632770937348
LM 5_X,0.025473039342793075,0.06229540959921987,-0.015161521296135001,-0.059532544398791874,0.0005847311307861382,0.053663814761607115,-0.011553380291794738,-0.022517353227157817,0.08080103670504216,-0.0738011970270044,-0.12272657410658926,-0.06673479642353165,0.04675387623702115,0.06269102052858068,0.07029786402326746,-0.11373218520563914,-0.010069090144689704,0.0019204580006284852,0.1092454455761088,-0.10408635894760108,-0.0436044207575863,0.02754090283142024,0.12379253064287596,0.058087360752658516,0.022850697656907473,0.10133972650930292,-0.07584718620615885,0.036797778700392664,0.12363954723511725,-0.04518194874662117,-0.0801986256805746,0.1297570307960026,0.06974204295505229,0.01969828069176522,0.05184689165662791,0.04208361061403784,-0.01359156605846188,-0.020504756005977086,-0.08100640144467104,-0.07539340252848539,0.08080739986463323,-0.08902161589895236,-0.061207858875534996,-0.0338866151652947,-0.02378870766084014,-0.07706965597223231,0.09818021609031635,-0.01500616723225091,0.031204363739365082,-0.05283456086100193,-0.04170165781245172
LM 5_Y,-0.01698274820177224,-0.026312252882652674,0.002419744137946576,0.04941554287396865,-0.04040159667600373,-0.0752495131302352,0.020066244104118044,0.0002632193211204366,-0.03677826044003382,0.07834992676072605,0.08523938462490158,0.012172456868648386,-0.08884249355354253,0.042988475873772046,-0.07250503580550836,-0.06331823376240316,-0.030897709700276877,0.05986898048238373,-0.0948306734928469,-0.10902419718777266,0.0343533213651212,0.04852531216117219,0.004416351597516928,-0.0018070759225257322,-0.059277529164732036,-0.09381593671769912,0.03745933909356821,-0.011633872572828904,-0.11557131856883303,-0.07286137887491341,0.053166875363234424,-0.14494315668350782,-0.00913239967037219,-0.07321699681993607,0.0018582766712379694,-0.037393013629386566,-0.04639137757325143,-0.02802715671261298,0.006553221633014866,-0.20100930817028176,-0.013389849157906336,-0.0027305526472762836,0.030439336937525107,0.20582688713059938,0.07932637235035224,0.030441271399481055,-0.03814966592259392,-0.012372945577050268,-0.14764827218663434,0.014480500384176632,0.10915766900151273
LM 5_Z,0.03604626844595429,0.03472904600373502,-0.007916932863137554,-0.02405653838283383,0.0013466022680741513,0.06480020674528622,-0.038408158494612585,-0.03869375859108099,0.0262595323605833,-0.0594407943626256,-0.09535588954699148,-0.01069275073259485,0.1300623397769183,0.049505382633875876,0.10043022172779965,-0.014987569102602787,0.026875438081907316,-0.051089050623440976,0.15260722811117633,0.017309995663877073,0.00025045346793094316,0.0024730360897051717,0.04506178634032794,0.008753572210836967,0.043969797771576224,0.130031923235915,-0.03194692532134767,-0.05900145063932031,0.020237195540450514,-0.0050843353169949725,0.02450905675030965,0.15421825771772063,-0.05778722831068974,0.08063834252991593,-0.06507055580316265,0.05587670647150138,0.0009850076382135987,0.10124582571774635,-0.05181699517396754,-0.0599064114029611,0.09603473873729326,0.03483477997077475,-0.008371688440854593,-0.06305007926263727,-0.06938952626238981,-0.10447021355756851,0.09509270034207669,-0.15851096239936552,0.045289458238286784,0.022129612336598825,-0.026921604812052753
LM 6_X,-0.04630013887280783,-0.02744449456480126,0.053319987916559675,0.07061875249827597,0.05073093306788286,-0.1634878081544503,-0.014731308888056472,-0.11848588188750742,0.03677029389015814,0.14810324461437485,0.21500806039816506,0.04151944628111352,-0.034796193089459714,0.04558509847409402,-0.01497330592994218,-0.040896467466564196,-0.10282876348381123,0.13478878208205713,-0.10155715381367932,-0.03552171129401112,0.1132222643319648,0.12128200275268096,-0.11193361690378677,-0.05327639129018029,-0.10254699101334616,-0.014523883892008517,0.092478119567202,-0.15082058362135267,-0.07182876829333015,0.07974824743959745,-0.02318603556248442,0.09129329901096431,0.022484566674418293,-0.04281660793903107,-0.03299066430576363,-0.11931174593256169,0.14164210033521044,-0.09490845678106594,-0.12308277611689725,-0.09449117689143424,0.05684992089230444,0.03565496043302207,-0.027624292666042136,-0.18112163321001218,0.08635975879301529,-0.0934956901416088,0.08379895355858952,0.017081008547730085,0.04276820284603244,-0.0653979720599539,-0.07657087574073212
LM 6_Y,0.07078105845341416,0.029684487778935332,-0.05918007559589228,-0.05262193612314385,-0.06863443388524783,0.11271422977447565,-0.08323066675356194,0.11523390470667495,-0.07129374275615466,-0.1655275109265416,-0.19347273590004765,-0.010991635849342242,0.03377447479785792,-0.07456290804157041,0.010743823803731446,-0.016445757885649732,0.022259435000184735,-0.0836329086358288,0.09970713307937577,0.08873722238320272,0.0012846926603330357,-0.0821064182778806,0.1722252074034843,0.0788630745104257,0.20991819531268952,-0.014136332524602458,-0.15879361139956247,0.0012981051582354325,0.04811894940931555,-0.05496313752667724,0.14923272252735492,0.07324705706481505,-0.020121240378267298,0.1349220688754937,-0.05429937860118395,0.07169812368739627,-0.1579835326845819,-0.15140659752413482,0.07150996448893678,-0.1015947234336263,0.08858856674440928,-0.005738584344067674,-0.036732516791643674,0.05810175252777767,0.05575827612673465,0.09851614851067013,-0.14147455402361314,0.026589361882944636,-0.06577722411735339,-0.08164632105305034,0.10557520475623408
LM 6_Z,-0.0014842256015060772,0.005992710775233736,-0.006891703330712831,-0.010401305415577544,-0.011081642930839603,-0.02352356323757236,-0.02602901570440387,-0.02185578426346513,-0.001264444189473874,0.017749214090384404,-0.00515400063320655,0.0027985737717862503,-0.0009974867347941774,-0.009797496228641468,-0.0235562164535969,-0.008120422106317336,-0.02976274421328947,0.028201358295852637,0.071586827589164,-0.004039110130865093,0.012720194588620025,-0.044692026637598165,-0.029564311425153807,0.04253537545401731,0.014319757380131326,-0.020663866032487523,0.1043740552152376,-0.028676752575438075,0.038481886170205835,0.10003607822760455,-0.011101446929679456,0.01710897928652267,-0.021044368980388396,0.04659052907814889,0.022980223320954472,0.06393680392961372,-0.036202469012176476,0.05858338290430401,0.0015328372660941643,0.0034685693045016365,-0.14832197688444257,-0.053078112938532054,0.06019985867527262,0.07370880821455313,0.05383188475444537,0.07271245435193453,0.10066696103758914,0.10699880905398566,-0.14108784801074623,0.015221403908226055,-0.07623266610957437
