,X,Y,Z
LM 1,-0.4704241265094537,-11.520717347543014,-24.254069417727965
LM 2,-3.4095910397679523,-64.86204471404592,-5.4125727647264545
LM 3,0.3487063920892742,7.4269243853219145,17.57400933211931
LM 4,1.7053685370654887,34.4259166380025,3.4583929225026204
LM 5,1.8318373429696895,39.494839118719646,-4.450974792577641
LM 6,3.219626945844729,57.768736663448706,-36.00497266341587
LM 7,5.293023001197419,90.12947670012106,-36.066087799406425
LM 8,-6.44558068758323,58.39116667429104,-40.061921107682835
LM 9,12.954453666193778,57.160463312293174,-40.12823420405933
LM 10,-13.42963570280806,75.1593220915971,-39.176473995076456
LM 11,22.045648445337836,72.88672884688013,-38.93251855030586
LM 12,-13.731209810858445,57.624918011807345,-30.445117451874776
LM 13,20.39148759147373,56.06744670055434,-30.12037012275153
LM 14,-23.057671166002272,61.71683847028627,-34.22525934205998
LM 15,29.50024681746417,58.74950144188943,-33.50770421939068
LM 16,-32.75868855585656,61.46770399631753,-30.4339629961039
LM 17,39.67945793554451,57.773160882378015,-30.267182599067887
LM 18,-0.3820038830308646,-5.178284987787208,47.398905558264616
LM 19,-1.9090958188553935,-36.25775814452342,23.584697719145876
LM 20,-3.262729932913561,-60.37728472497167,6.700506236819224
LM 21,-4.762063700667806,-87.56057557251428,4.647700599171888
LM 22,-28.04048678055049,6.204505052302172,55.20468060531926
LM 23,27.802368102387128,3.7441401099499885,55.1850143891295
LM 24,-45.88963729417029,3.783277211350845,39.999048093577834
LM 25,45.57025710980462,-0.540697484827155,40.4409991684635
LM 26,-8.933833206546213,-3.868695755902737,35.29907929946702
LM 27,8.225262008994699,-4.751695130720766,35.507139773202255
LM 28,-28.918528758264813,-17.691468666571964,22.904710845691064
LM 29,26.913016847738078,-20.288225978809077,23.03270563958265
LM 30,-60.65519861222589,-6.104001044508927,10.79123264898607
LM 31,59.5317012920463,-12.136382089584714,11.304569664632483
LM 32,-53.453262947512385,-25.794264721862657,-6.592319448639614
LM 33,50.411830843694055,-31.04764550094634,-6.0874085371002415
LM 34,-28.397826329108824,-30.86185296580998,12.906447161469384
LM 35,24.498087820723153,-33.79336646933943,13.394994799819887
LM 36,-18.193418584128818,-52.974765056548776,13.65109519680073
LM 37,12.331727349704783,-54.27519299513367,14.01276973996742
LM 38,-22.190597131252037,-83.5209941353221,3.3846005834540183
LM 39,13.025504965213859,-85.4424162030856,3.5222397247851207
LM 40,-35.58418077956139,-63.911346378404716,-13.947435557104836
LM 41,28.596051832687525,-67.21539023874656,-13.790954133299614
