,X,Y,Z
LM 1,-0.0010916952896455813,-0.028142749066543626,-0.058861366152726906
LM 2,-0.008279373960779072,-0.15800538702851682,-0.013132437791661846
LM 3,0.0008712715361734409,0.017526866840541028,0.04340031586849465
LM 4,0.004158430397652508,0.08412325982238981,0.009133687170148373
LM 5,0.004435251170898391,0.09631692783664976,-0.01042485793817216
LM 6,0.007857231759379057,0.14081015092913685,-0.08780921214109984
LM 7,0.012957398327885193,0.22100230694618667,-0.08832691875649873
LM 8,-0.016082774319708778,0.14269659360076456,-0.09819161622142793
LM 9,0.032007326827855245,0.13969432309941765,-0.09829816357865814
LM 10,-0.033006652979812034,0.18360214530744293,-0.09597780526038521
LM 11,0.054013590173503635,0.17807787243738107,-0.09525173852352609
LM 12,-0.034077238764298176,0.1406034287797908,-0.07456346303670708
LM 13,0.050280658217777996,0.13674653048181504,-0.07363018622591486
LM 14,-0.05710943776536286,0.15059037886237817,-0.08384481006094972
LM 15,0.07277903367522236,0.14322721220717097,-0.08195088992994955
LM 16,-0.08067209203352976,0.15013583209635648,-0.07490619973865856
LM 17,0.0974061974908101,0.1410710462429781,-0.07430771213291858
LM 18,-0.0009198599067064009,-0.012905002016889643,0.11612800268681808
LM 19,-0.004578382759344954,-0.08718773327044385,0.05785206552581965
LM 20,-0.007940186098116064,-0.1469085814541301,0.01671277362453694
LM 21,-0.011657083750458645,-0.21367526758672156,0.011374006299677806
LM 22,-0.06861974292919774,0.01504933776672706,0.13535753867087794
LM 23,0.06815530470764197,0.008924334894709673,0.13525622272683419
LM 24,-0.11239366671139676,0.008648011236237802,0.09794161716310976
LM 25,0.11157199153870004,-0.0019442890023587441,0.09907540272537152
LM 26,-0.021418683398496827,-0.009947461369554406,0.08642398155880508
LM 27,0.019671628438904104,-0.012166489360324795,0.08700993333645454
LM 28,-0.0716976562421455,-0.04386323868340836,0.055476526940478776
LM 29,0.06661001382268965,-0.05029756947549527,0.0557833302718226
LM 30,-0.14790010813658017,-0.015667170698493157,0.02596563339098325
LM 31,0.14513749586415448,-0.03051609112564307,0.027315513892175784
LM 32,-0.1308033658394146,-0.06301114210449485,-0.016406187281912166
LM 33,0.12340720022973102,-0.07595987212717506,-0.015145796818661853
LM 34,-0.06951453150550227,-0.07526709502950357,0.03153576399359087
LM 35,0.06005491118752617,-0.08249646179566483,0.032644680140048794
LM 36,-0.044396371734096524,-0.1283613709554414,0.03325597471072069
LM 37,0.03017626992435901,-0.13160735688579486,0.03410043607683074
LM 38,-0.05487899165459943,-0.20341375171321288,0.008137974242061639
LM 39,0.03251162175703973,-0.20817160160559814,0.008499490511426684
LM 40,-0.08743494517326807,-0.15562779177975292,-0.03384667211612798
LM 41,0.07041001390455642,-0.1637030852529111,-0.03350483782113165
